Category,Description,Price,Location,"Image URL"
Appartements,"🏠Appartement S+2 à Cité Les Palmeraies","1100 TND","Ariana, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=3f/3f3f68fd-3abe-4f9c-af1b-d669652b3a22&w=100&w=300
Appartements,"🏠Appartement S+1 à Ain Zaghouan","1100 TND","Tunis, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=38/3878bd3b-34f7-4279-a5a2-44153407074b&w=100&w=300
Téléphones,"Redmi 10C","400 TND","Nabeul, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=d0/d04517d6-e687-4329-aa63-5c0f2003bb84&w=300
Appartements,"🏠Appartement S+2 à Cité Les Palmeraies","1200 TND","Tunis, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=38/3878bd3b-34f7-4279-a5a2-44153407074b&w=100&w=300
"Pièces et Accessoires pour véhicules"," rétroviseur gauche Peugeot 308( 2014...2021 )"," TND","Tunis, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=6a/6a31b6ff-82dc-43f9-a884-c23f795f4396&w=300
Téléphones,"iPhone 15 pro ","4500 TND","Mahdia, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=63/63c5fe8d-17e8-4cc1-988d-2dfdabaf315f&w=300
"Pièces et Accessoires pour véhicules","Tableau de bord Peugeot 207 origine "," TND","Nabeul, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=8a/8a4f3c64-89f4-45db-a1ec-521e8e52185d&w=300
"Business et Affaires commerciales","Recrutement très urgent","900 TND","Tunis, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=ee/eea0113c-9d91-4424-a38f-dabb7c95e802&w=300
"Matériels Professionnels","tolier pro secheur peinture four","500 TND","Tunis, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=d8/d834dd14-f2ee-453d-a7a5-a1f60d60642b&w=300
"Pièces et Accessoires pour véhicules","feu arrière droit Peugeot 406 phase 2 "," TND","Tunis, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=e9/e971e725-e105-4303-b408-e4f1b5da9196&w=300
"Pièces et Accessoires pour véhicules","Airbag volant Citroën b9/ jumpy 3 origines "," TND","Tunis, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=b7/b78d5e7a-2c70-4a31-af99-f00ba465b6b6&w=300
"Offres d'emploi","تحبّ تولّي تحكي Allemand","498 TND","Tunis, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=2b/2b83a1af-a52e-49a9-9360-fc86e1f0a794&w=300
Voitures,"🚘 HYUNDAI GRAND i 10🚘","40500 TND","Ariana, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=ca/caa9d1a2-032e-4863-9b3b-56abf69f7d5f.jpg&w=100&w=300
"Terrains et Fermes","terrain à vendre 350m2","250 TND","Médenine, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=28/28ff3097-2e76-476a-ac5e-4aece441a7fa&w=300
"Pièces et Accessoires pour véhicules","Afficheur Peugeot/Citroën origine "," TND","Tunis, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=7d/7d341add-ca5a-4b1b-a950-fde2c0343651&w=300
Voitures,"🚘 FIAT DOBLO 5 PLACES 🚘","48500 TND","Ariana, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=ca/caa9d1a2-032e-4863-9b3b-56abf69f7d5f.jpg&w=100&w=300
"Pièces et Accessoires pour véhicules","Airbag volant Peugeot b9 / expert 3 phase 2 "," TND","Tunis, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=9b/9b7c3728-07c2-4406-8ece-5f3e628bb6ea&w=300
Téléphones,"iPhone 15 pro","4500 TND","Mahdia, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=f9/f9cc3f2f-557c-4228-8b16-b6e64dafca08&w=300
"Ordinateurs portables"," 6 PC Dell vostro Complet I5/i3 /HDMI /RAM : 4 Géga+Ecran 19p ","499 TND","Tunis, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=10/10b8797b-0a3a-46b2-953e-5d587168d8ff&w=300
"Terrains et Fermes","vente terrain borj touil 530m² cité erriadh","132500 TND","Ariana, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=27/27cabb5a-173c-4027-8920-3d9ac090b7ac&w=100&w=300
"Pièces et Accessoires pour véhicules","2 feux arrières Citroën Ds3 origines "," TND","Tunis, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=1e/1e1f6b73-bb57-48cc-aca1-240ca9afde81&w=300
"Pièces et Accessoires pour véhicules","Airbag volant Renault clio 4 origine "," TND","Tunis, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=39/39208b26-d7de-4d04-8c46-475324e7274b&w=300
"Remorques et Caravanes","attelage jdid 120d wlmosta3ml 110d boule de remorquage","120 TND","Tunis, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=60/600b964a-fd6f-44d7-a077-305da80b038b&w=300
Voitures,"FORD MONDEO GHIA 1.6 ESSENCE ","29 TND","Bizerte, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=ea/eaec2be5-86a1-4b82-9274-fd5399c6fb44&w=300
"Offres d'emploi","تخفيض كل تسجيل في الأنجليزية","178 TND","Tunis, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=88/880b10a3-899e-4f01-ae6d-84bb35e5e191&w=300
Chaussures,"A VENDRE BASKETS LACOSTE DANS L'EMBALLAGE","350 TND","Bizerte, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=ed/ed5c387e-f57c-445e-8202-eaf12b2e3b8e&w=300
Voitures,"saviem ","6500 TND","Tunis, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=86/863a6f53-3325-4fc6-b5dd-5f5b4df5537c&w=300
"Ordinateurs portables","6 unités Dell vostro Complet I5/ HDMI /RAM : 8Géga","399 TND","Tunis, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=92/92b2ba62-44ff-4f9a-aca3-26f9933c3832&w=300
Appartements,"A vendre S+3 A borj louzir","160000 TND","Ariana, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=e7/e7408186-4e1e-4cb4-ab58-69f0f2351457&w=300
"Terrains et Fermes","Terrain habitation collective en vente","252000 TND","Mahdia, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=59/59b682bb-43fb-4bee-8de3-b4de52a72476&w=300
"Offres d'emploi","Société rapide recrute ","1300 TND","Tunis, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=48/48217153-12aa-4575-b34e-696baffa81bb&w=300
Voitures,"🚘 CITROEN C4 Cactus PureTech 🚘","53500 TND","Ariana, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=ca/caa9d1a2-032e-4863-9b3b-56abf69f7d5f.jpg&w=100&w=300
"Meubles et Décoration","A VENDRE LOT DE MEUBLES RUSTIQUES ","1111 TND","Bizerte, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=a4/a462c2a8-5b49-425e-8250-16e69cd07522&w=300
Téléphones,"chargeur Fast USB 12W d'origine ","100 TND","Tunis, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=81/81707b37-63bd-4ae4-91ff-5483640da525&w=300
Appartements,"S+1 en vente","165000 TND","Mahdia, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=a3/a3628917-42cf-4a77-9165-628d668545ab&w=300
Appartements,"S+2 en vente a Rejiche ","180000 TND","Mahdia, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=aa/aa89cf3b-08e7-4f31-a67f-c4d58d02f0bb&w=300
"Ordinateurs portables"," Unité AMD-Pro A12 9600 DDR 4 = i5 7ème Génération/8GB/500/Etat neuf dans l’Emballage","550 TND","Tunis, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=b7/b7a34679-b0d5-4097-a5ac-f722b151522c&w=300
"Autres ","iPhone 15 pro ","5100 TND","Mahdia, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=de/defcf17d-789e-446f-a2a5-10c25f4f9acc&w=300
Services,"🚫Voiture avec Chauffeur (Aéroport,cérémonies,mariage..)"," TND","Tunis, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=2c/2cdd3b7d-c16d-404f-a97b-9bfe07746b93&w=300
"Maisons et Villas","Villa Anas","1050000 TND","Nabeul, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=7a/7ae223bd-73b6-431f-9e18-f2f5cb2ef10a&w=100&w=300
Appartements,"A Louer pour famille ou jeune couple un S+2 à soukra résidence camelia","950 TND","Ariana, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=e2/e2ef61ff-b4cb-4c86-96e8-d993572b2105&w=300
Voitures,"🚘 Kia Rio Prestige comme neuve Full option 🚘"," TND","Nabeul, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=77/77ea625b-ec10-47fd-9c55-a47ba0bff657&w=100&w=300
